ksize,mpi_task,time,thread
1000,1,2.460203,12
1000,1,2.459900,12
1000,1,2.459778,12
1000,1,2.460682,12
1000,1,2.460244,12
1414,2,4.900711,12
1414,2,4.904062,12
1414,2,4.903892,12
1414,2,4.904477,12
1414,2,4.904288,12
1732,3,7.346608,12
1732,3,7.343631,12
1732,3,7.350470,12
1732,3,7.351770,12
1732,3,7.352136,12
2000,4,9.801388,12
2000,4,9.790969,12
2000,4,9.790782,12
2000,4,9.794394,12
2000,4,9.798915,12
2236,5,12.245441,12
2236,5,12.245137,12
2236,5,12.237743,12
2236,5,12.242016,12
2236,5,12.242513,12
2449,6,14.681743,12
2449,6,14.682235,12
2449,6,14.673661,12
2449,6,14.680818,12
2449,6,14.682382,12
2646,7,17.136041,12
2646,7,17.135381,12
2646,7,17.136811,12
2646,7,17.134971,12
2646,7,17.137035,12
2828,8,19.588961,12
2828,8,19.581484,12
2828,8,19.570281,12
2828,8,19.580195,12
2828,8,19.587055,12
